,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,64,ZA,1541746128,91,-33.59,26.89,65.92,2.53
1,Nikolskoye,90,RU,1541743200,86,59.7,30.79,39.2,6.71
2,Airai,0,TL,1541746129,42,-8.93,125.41,86.17,1.68
3,Thompson,5,CA,1541743200,83,55.74,-97.86,-5.81,3.36
4,Hermanus,0,ZA,1541746129,76,-34.42,19.24,58.72,5.03
5,Kapaa,20,US,1541742960,73,22.08,-159.32,77.0,11.41
6,Cape Town,0,ZA,1541743200,49,-33.93,18.42,68.0,14.99
7,Tuktoyaktuk,90,CA,1541743200,85,69.44,-133.03,19.4,9.17
8,Cabedelo,100,BR,1541746130,97,-6.97,-34.84,78.52,13.82
9,Rikitea,88,PF,1541746131,100,-23.12,-134.97,72.36,10.29
10,Ushuaia,90,AR,1541743200,89,-54.81,-68.31,37.4,27.51
11,Byron Bay,64,AU,1541745000,43,-28.65,153.62,71.6,13.87
12,Husavik,32,CA,1541746137,92,50.56,-96.99,18.72,14.16
13,Huarmey,20,PE,1541746137,89,-10.07,-78.15,54.45,3.02
14,Manacapuru,20,BR,1541746138,99,-3.3,-60.62,75.33,2.57
15,Bredasdorp,0,ZA,1541743200,68,-34.53,20.04,68.0,9.17
16,Lasa,20,CY,1541745000,56,34.92,32.53,68.0,5.82
17,Torbay,5,CA,1541743200,80,47.66,-52.73,39.2,28.86
18,Hobart,75,AU,1541745000,42,-42.88,147.33,62.6,4.7
19,Busselton,36,AU,1541746142,66,-33.64,115.35,76.23,9.4
20,Nishihara,75,JP,1541744820,93,35.74,139.53,62.6,2.24
21,San Pedro de Macoris,20,DO,1541743200,94,18.46,-69.3,73.4,4.7
22,Neuquen,0,AR,1541743200,22,-38.95,-68.06,69.8,11.41
23,Yumen,76,CN,1541746143,58,40.29,97.04,37.3,18.68
24,Iqaluit,75,CA,1541743200,79,63.75,-68.52,19.4,8.05
25,Longyearbyen,75,NO,1541744400,97,78.22,15.63,32.0,18.34
26,Santa Ana,20,SV,1541742600,94,13.99,-89.56,73.4,2.19
27,Punta Arenas,75,CL,1541743200,69,-53.16,-70.91,39.2,10.29
28,Cabo San Lucas,5,MX,1541742000,60,22.89,-109.91,71.6,9.91
29,Fairbanks,40,US,1541744280,92,64.84,-147.72,12.02,2.86
30,Fenoarivo,20,MG,1541743200,61,-18.93,47.44,77.0,4.7
31,Ancud,80,CL,1541746147,99,-41.87,-73.83,50.17,2.86
32,Awjilah,0,LY,1541746148,85,29.14,21.3,59.49,4.25
33,Salalah,75,OM,1541742600,66,17.01,54.1,84.2,4.7
34,New Norfolk,75,AU,1541745000,42,-42.78,147.06,62.6,4.7
35,Kodiak,90,US,1541742780,100,39.95,-94.76,30.92,5.82
36,Hithadhoo,64,MV,1541746149,100,-0.6,73.08,82.17,14.94
37,Cidreira,0,BR,1541746149,77,-30.17,-50.22,65.83,13.87
38,Buraydah,75,SA,1541743200,93,26.33,43.97,66.2,9.17
39,Kamyshevatskaya,0,RU,1541746150,100,46.41,37.96,47.02,13.42
40,Deyang,12,CN,1541746150,82,31.12,104.39,57.82,3.8
41,Bangassou,8,CF,1541746151,94,4.74,22.82,73.93,2.86
42,Tiksi,48,RU,1541746151,67,71.64,128.87,-9.28,3.87
43,Nanortalik,44,GL,1541746151,93,60.14,-45.24,29.97,11.14
44,Selma,1,US,1541745300,61,36.57,-119.61,53.06,3.02
45,Kawalu,92,ID,1541746152,90,-7.38,108.21,74.25,2.86
46,Horodyshche,90,UA,1541743200,100,50.76,29.29,28.4,4.47
47,Hami,88,CN,1541746153,88,42.84,93.51,37.57,3.2
48,Vaini,0,IN,1541746153,51,15.34,74.49,86.22,4.25
49,Matara,64,PE,1541746154,100,-13.74,-72.9,42.84,1.57
50,Qaqortoq,20,GL,1541742600,73,60.72,-46.03,23.0,2.75
51,Albany,20,US,1541742840,81,42.65,-73.75,35.96,2.75
52,Mareeba,75,AU,1541745000,48,-16.99,145.42,87.8,14.99
53,Saskylakh,64,RU,1541746159,61,71.97,114.09,-13.15,6.71
54,Yukhnov,76,RU,1541746159,92,54.74,35.23,30.69,2.46
55,Barrow,32,AR,1541746160,45,-38.31,-60.23,75.51,18.57
56,Moron,92,VE,1541746160,96,10.49,-68.2,71.82,2.19
57,Upernavik,0,GL,1541746160,100,72.79,-56.15,18.27,18.57
58,Hilo,90,US,1541743860,93,19.71,-155.08,73.04,5.82
59,Tasiilaq,76,GL,1541742600,69,65.61,-37.64,37.4,20.8
60,Novovasylivka,0,UA,1541746161,87,48.2,37.04,28.26,2.98
61,Chokurdakh,8,RU,1541746162,45,70.62,147.9,-28.09,3.2
62,Palmer,0,AU,1541745000,18,-34.85,139.16,71.6,12.75
63,Bambanglipuro,92,ID,1541746154,97,-7.95,110.28,79.92,4.76
64,Kalmunai,88,LK,1541746163,100,7.42,81.82,77.85,4.88
65,Nome,90,US,1541744400,92,30.04,-94.42,69.08,5.82
66,Kerema,88,PG,1541746164,92,-7.96,145.78,78.25,3.47
67,Fomboni,24,KM,1541746164,100,-12.28,43.74,80.28,17.45
68,Sao Joao da Barra,92,BR,1541746164,100,-21.64,-41.05,71.91,17.78
69,Balkhash,92,KZ,1541746165,100,46.84,74.98,35.19,18.63
70,Mataura,92,NZ,1541746165,90,-46.19,168.86,48.06,4.25
71,Kruisfontein,0,ZA,1541746165,80,-34.0,24.73,63.0,2.01
72,Zhoucheng,0,CN,1541746166,65,31.35,119.33,64.03,4.47
73,Khatanga,56,RU,1541746166,82,71.98,102.47,-18.91,5.48
74,Porterville,0,US,1541742960,70,36.07,-119.02,48.92,5.82
75,Mount Isa,0,AU,1541745000,19,-20.73,139.49,95.0,10.29
76,Tuatapere,80,NZ,1541746168,100,-46.13,167.69,47.02,7.61
77,Den Helder,75,NL,1541745660,93,52.96,4.76,50.0,10.29
78,Arraial do Cabo,92,BR,1541746169,100,-22.97,-42.02,71.05,14.83
79,San Cristobal,75,EC,1541743200,87,-0.39,-78.55,53.6,6.93
80,Ciro Marina,20,IT,1541746170,100,39.37,17.13,66.42,9.51
81,Bluff,12,AU,1541746170,25,-23.58,149.07,87.88,4.81
82,Bethel,90,US,1541742780,96,60.79,-161.76,33.98,13.87
83,Coos Bay,1,US,1541742960,92,43.37,-124.22,42.08,5.82
84,Banfora,88,BF,1541746171,78,10.64,-4.75,71.91,9.73
85,Yulara,0,AU,1541743200,16,-25.24,130.99,86.0,13.87
86,Yellowknife,90,CA,1541743200,85,62.45,-114.38,12.2,17.22
87,Bumba,8,CD,1541746172,93,2.18,22.47,74.97,3.87
88,Pevek,56,RU,1541746172,100,69.7,170.27,7.47,8.57
89,Phangnga,20,TH,1541745000,55,8.45,98.53,91.4,9.17
90,Dunedin,92,NZ,1541746173,100,-45.87,170.5,43.29,3.76
91,Hidalgo,1,US,1541744100,90,26.1,-98.26,78.08,4.7
92,Havre-Saint-Pierre,75,CA,1541743200,80,50.23,-63.6,33.8,8.05
93,Batamshinskiy,90,KZ,1541743200,92,50.56,58.27,26.6,13.42
94,Baiyin,0,CN,1541743200,34,36.55,104.13,48.2,4.47
95,Avarua,75,CK,1541743200,78,-21.21,-159.78,77.0,11.41
96,La Rochelle,0,FR,1541745000,93,46.16,-1.15,53.6,4.7
97,Salina,90,US,1541744100,93,36.29,-95.15,37.94,6.93
98,East London,0,ZA,1541743200,60,-33.02,27.91,68.0,3.36
99,Dawlatabad,76,AF,1541746178,87,36.41,64.91,44.28,3.87
100,Champerico,0,MX,1541746178,93,16.38,-93.6,61.38,1.68
101,Sao Filipe,76,CV,1541746178,94,14.9,-24.5,78.48,17.11
102,Port Hardy,90,CA,1541743200,87,50.7,-127.42,44.6,16.11
103,Aloleng,0,PH,1541746179,88,16.13,119.78,84.78,6.82
104,Shenjiamen,0,CN,1541746179,100,29.96,122.3,60.7,10.07
105,Mar del Plata,56,AR,1541746181,96,-46.43,-67.52,46.89,8.23
106,Luderitz,0,NA,1541743200,55,-26.65,15.16,64.4,3.36
107,Puerto Ayora,68,EC,1541746181,100,-0.74,-90.35,72.27,8.05
108,Sisimiut,0,GL,1541746182,100,66.94,-53.67,-10.18,1.45
109,Buritis,92,BR,1541746182,99,-15.62,-46.42,66.82,9.24
110,Slavuta,0,UA,1541743200,100,50.3,26.87,28.4,7.0
111,Darovskoy,20,RU,1541746185,81,58.77,47.96,13.86,6.78
112,Bilibino,80,RU,1541746185,80,68.06,166.44,-5.32,2.19
113,Ponta do Sol,100,BR,1541746185,97,-20.63,-46.0,60.57,12.37
114,Pisco,90,PE,1541743200,88,-13.71,-76.2,64.4,5.82
115,Nivala,92,FI,1541746186,99,63.93,24.96,41.13,3.76
116,Cukai,75,MY,1541743200,83,4.25,103.42,87.8,4.7
117,Svetlogorsk,90,RU,1541743200,67,53.14,59.15,17.6,8.95
118,Esperance,20,TT,1541743200,94,10.24,-61.45,78.8,4.99
119,Ankara,40,TR,1541742600,87,39.92,32.85,44.6,2.24
